road,one-plus-o23,one-plus-o212,one-plus-o216,one-plus-o217,one-plus-o220,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o226,one-plus-o243,one-plus-o329,one-plus-o344,one-plus-o350,one-plus-o353,one-plus-o361,one-plus-o368,random--la1024,random--la232,random--la240,random--la438,random--la53,random--la519,random--la523,random--la624,random--la631,random--la637,random--la76,random--la724,random--la733,random--la86
one-plus-o329,0.4375,0.5625,0.5,0.375,0.4375,0.4375,0.4375,0.4375,0.375,0.375,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.6875,0.625,0.75,0.625,0.9375,0.875,0.375,0.875,0.6875,0.625,0.6875,0.75,0.875,0.5625
one-plus-o344,0.375,0.5,0.4375,0.3125,0.375,0.375,0.375,0.375,0.3125,0.3125,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.625,0.5625,0.6875,0.5625,1.0,0.8125,0.3125,0.8125,0.625,0.6875,0.75,0.6875,0.9375,0.5
one-plus-o350,0.375,0.5,0.4375,0.3125,0.375,0.375,0.375,0.375,0.3125,0.3125,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.625,0.5625,0.6875,0.5625,1.0,0.8125,0.3125,0.8125,0.625,0.6875,0.75,0.6875,0.9375,0.5
one-plus-o353,0.375,0.5,0.4375,0.3125,0.375,0.375,0.375,0.375,0.3125,0.3125,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.625,0.5625,0.6875,0.5625,1.0,0.8125,0.3125,0.8125,0.625,0.6875,0.75,0.6875,0.9375,0.5
one-plus-o361,0.4375,0.5625,0.5,0.375,0.4375,0.4375,0.4375,0.4375,0.375,0.375,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.6875,0.625,0.75,0.625,0.9375,0.875,0.375,0.875,0.6875,0.625,0.6875,0.75,0.875,0.5625
one-plus-o368,0.4375,0.5625,0.5,0.375,0.4375,0.4375,0.4375,0.4375,0.375,0.375,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.6875,0.625,0.75,0.625,0.9375,0.875,0.375,0.875,0.6875,0.625,0.6875,0.75,0.875,0.5625
random--la1024,0.75,0.875,0.6875,0.6875,0.625,0.75,0.625,0.75,0.6875,0.6875,0.6875,0.625,0.625,0.625,0.6875,0.6875,1.0,0.6875,0.5625,0.9375,0.625,0.6875,0.6875,0.8125,0.875,0.8125,0.875,0.9375,0.6875,0.875
random--la232,0.6875,0.6875,0.75,0.75,0.6875,0.6875,0.8125,0.8125,0.75,0.625,0.625,0.5625,0.5625,0.5625,0.625,0.625,0.6875,1.0,0.75,0.75,0.5625,0.75,0.75,0.75,0.8125,0.5,0.5625,0.75,0.625,0.6875
random--la240,0.6875,0.6875,0.75,0.625,0.5625,0.5625,0.6875,0.5625,0.625,0.625,0.75,0.6875,0.6875,0.6875,0.75,0.75,0.5625,0.75,1.0,0.625,0.6875,0.875,0.625,0.625,0.6875,0.375,0.4375,0.625,0.625,0.5625
random--la438,0.8125,0.9375,0.75,0.75,0.6875,0.6875,0.6875,0.8125,0.75,0.75,0.625,0.5625,0.5625,0.5625,0.625,0.625,0.9375,0.75,0.625,1.0,0.5625,0.75,0.75,0.75,0.9375,0.75,0.8125,0.875,0.625,0.9375
random--la53,0.375,0.5,0.4375,0.3125,0.375,0.375,0.375,0.375,0.3125,0.3125,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.625,0.5625,0.6875,0.5625,1.0,0.8125,0.3125,0.8125,0.625,0.6875,0.75,0.6875,0.9375,0.5
random--la519,0.5625,0.6875,0.625,0.5,0.4375,0.4375,0.5625,0.5625,0.5,0.5,0.875,0.8125,0.8125,0.8125,0.875,0.875,0.6875,0.75,0.875,0.75,0.8125,1.0,0.5,0.75,0.8125,0.5,0.5625,0.75,0.75,0.6875
random--la523,0.8125,0.8125,0.875,1.0,0.8125,0.8125,0.9375,0.8125,1.0,0.875,0.375,0.3125,0.3125,0.3125,0.375,0.375,0.6875,0.75,0.625,0.75,0.3125,0.5,1.0,0.5,0.6875,0.5,0.5625,0.625,0.375,0.6875
random--la624,0.5625,0.6875,0.625,0.5,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.875,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.75,0.625,0.75,0.8125,0.75,0.5,1.0,0.8125,0.75,0.8125,0.875,0.875,0.6875
random--la631,0.75,0.875,0.8125,0.6875,0.625,0.625,0.75,0.75,0.6875,0.6875,0.6875,0.625,0.625,0.625,0.6875,0.6875,0.875,0.8125,0.6875,0.9375,0.625,0.8125,0.6875,0.8125,1.0,0.6875,0.75,0.9375,0.6875,0.875
random--la637,0.6875,0.6875,0.5,0.5,0.6875,0.6875,0.4375,0.6875,0.5,0.625,0.625,0.6875,0.6875,0.6875,0.625,0.625,0.8125,0.5,0.375,0.75,0.6875,0.5,0.5,0.75,0.6875,1.0,0.9375,0.75,0.75,0.8125
random--la76,0.625,0.75,0.5625,0.5625,0.625,0.625,0.5,0.625,0.5625,0.5625,0.6875,0.75,0.75,0.75,0.6875,0.6875,0.875,0.5625,0.4375,0.8125,0.75,0.5625,0.5625,0.8125,0.75,0.9375,1.0,0.8125,0.8125,0.75
random--la724,0.6875,0.8125,0.75,0.625,0.5625,0.6875,0.6875,0.6875,0.625,0.625,0.75,0.6875,0.6875,0.6875,0.75,0.75,0.9375,0.75,0.625,0.875,0.6875,0.75,0.625,0.875,0.9375,0.75,0.8125,1.0,0.75,0.8125
random--la733,0.4375,0.5625,0.5,0.375,0.4375,0.4375,0.4375,0.4375,0.375,0.375,0.875,0.9375,0.9375,0.9375,0.875,0.875,0.6875,0.625,0.625,0.625,0.9375,0.75,0.375,0.875,0.6875,0.75,0.8125,0.75,1.0,0.5625
random--la86,0.875,0.875,0.6875,0.6875,0.75,0.75,0.625,0.875,0.6875,0.8125,0.5625,0.5,0.5,0.5,0.5625,0.5625,0.875,0.6875,0.5625,0.9375,0.5,0.6875,0.6875,0.6875,0.875,0.8125,0.75,0.8125,0.5625,1.0
