road,one-plus-o1011,one-plus-o1014,one-plus-o1023,one-plus-o1034,one-plus-o22,one-plus-o23,one-plus-o24,one-plus-o25,one-plus-o27,one-plus-o28,one-plus-o29,one-plus-o210,one-plus-o211,one-plus-o212,one-plus-o213,one-plus-o214,one-plus-o215,one-plus-o216,one-plus-o217,one-plus-o218,one-plus-o219,one-plus-o220,one-plus-o221,one-plus-o222,one-plus-o223,one-plus-o224,one-plus-o225,one-plus-o226,one-plus-o227,one-plus-o228,one-plus-o230,one-plus-o231,one-plus-o232,one-plus-o233,one-plus-o234,one-plus-o235,one-plus-o236,one-plus-o237,one-plus-o238,one-plus-o239,one-plus-o240,one-plus-o241,one-plus-o243,one-plus-o31,one-plus-o32,one-plus-o33,one-plus-o34,one-plus-o35,one-plus-o36,one-plus-o37,one-plus-o38,one-plus-o39,one-plus-o310,one-plus-o311,one-plus-o312,one-plus-o313,one-plus-o314,one-plus-o315,one-plus-o316,one-plus-o317,one-plus-o318,one-plus-o319,one-plus-o320,one-plus-o321,one-plus-o322,one-plus-o323,one-plus-o324,one-plus-o325,one-plus-o326,one-plus-o327,one-plus-o328,one-plus-o329,one-plus-o330,one-plus-o331,one-plus-o332,one-plus-o333,one-plus-o334,one-plus-o335,one-plus-o336,one-plus-o337,one-plus-o338,one-plus-o339,one-plus-o340,one-plus-o341,one-plus-o342,one-plus-o344,one-plus-o345,one-plus-o346,one-plus-o347,one-plus-o348,one-plus-o349,one-plus-o350,one-plus-o351,one-plus-o352,one-plus-o353,one-plus-o354,one-plus-o355,one-plus-o356,one-plus-o357,one-plus-o358,one-plus-o359,one-plus-o360,one-plus-o361,one-plus-o362,one-plus-o364,one-plus-o365,one-plus-o366,one-plus-o367,one-plus-o368,one-plus-o369,random--la12,random--la13,random--la19,random--la112,random--la114,random--la122,random--la123,random--la125,random--la102,random--la104,random--la106,random--la107,random--la1010,random--la1014,random--la1015,random--la1016,random--la1017,random--la1020,random--la1021,random--la1022,random--la1023,random--la23,random--la24,random--la26,random--la29,random--la211,random--la213,random--la214,random--la216,random--la217,random--la218,random--la221,random--la223,random--la228,random--la229,random--la231,random--la232,random--la233,random--la235,random--la237,random--la238,random--la239,random--la240,random--la243,random--la33,random--la35,random--la314,random--la317,random--la42,random--la43,random--la44,random--la45,random--la46,random--la47,random--la48,random--la49,random--la410,random--la411,random--la412,random--la413,random--la415,random--la423,random--la424,random--la425,random--la427,random--la430,random--la431,random--la433,random--la434,random--la435,random--la439,random--la52,random--la53,random--la510,random--la512,random--la514,random--la515,random--la518,random--la519,random--la522,random--la523,random--la524,random--la526,random--la530,random--la532,random--la62,random--la63,random--la65,random--la68,random--la614,random--la618,random--la619,random--la620,random--la621,random--la623,random--la624,random--la625,random--la626,random--la628,random--la629,random--la630,random--la631,random--la633,random--la635,random--la637,random--la638,random--la640,random--la641,random--la642,random--la646,random--la647,random--la649,random--la650,random--la651,random--la652,random--la653,random--la654,random--la655,random--la656,random--la657,random--la658,random--la660,random--la661,random--la72,random--la74,random--la76,random--la77,random--la78,random--la79,random--la717,random--la722,random--la724,random--la726,random--la727,random--la729,random--la731,random--la732,random--la733,random--la734,random--la82,random--la83,random--la86,random--la87,random--la88,random--la89,random--la813,random--la819,random--la824,random--la827,random--la828,random--la93,random--la94,random--la97,random--la910,random--la911,random--la913,random--la915,random--la916,random--la920,random--la923,random--la924,random--la926,random--la928 
one-plus-o316,0.875,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.625,0.8125,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.75,1.0,0.75,1.0,1.0,0.8125,0.6875,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.6875,1.0,0.8125,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.9375,0.8125,0.875,0.8125,0.8125,0.9375,0.9375,0.8125,0.8125,0.8125,0.75,0.75,0.8125,0.875,0.75,0.8125,0.875,1.0,0.75,0.8125,0.9375,0.6875,0.875,0.875,0.6875,1.0,0.8125,0.8125,0.8125,0.8125,0.9375,0.875,0.875,0.8125,0.8125,0.875,0.875,1.0,0.8125,0.9375,0.75,0.875,0.9375,0.875,0.875,0.875,0.8125,0.875,0.8125,0.875,0.875,0.875,0.9375,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.875,0.8125,0.875,0.875,0.8125,0.875,0.875,0.875,0.9375,0.875,0.875,0.75,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.75,0.875,0.9375,0.625,0.875,0.875,0.875,0.875,0.875,0.5,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.875,0.875,0.8125,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.875,0.875,0.8125,0.9375,0.875,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.625,0.875,0.375,0.9375,0.875,0.875,0.8125,0.875,0.875,0.8125,0.875,0.8125,0.8125,0.875,0.875,0.8125,0.875,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.8125,0.875,0.75,0.9375,0.875,0.875
one-plus-o317,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.9375,0.8125,0.8125,1.0,0.875,0.8125,0.9375,0.8125,0.8125,0.8125,0.9375,0.9375,0.875,0.8125,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.75,1.0,0.9375,1.0,0.875,0.875,0.875,0.75,0.75,1.0,0.9375,0.9375,1.0,0.8125,0.9375,1.0,0.8125,0.8125,0.9375,1.0,0.875,0.625,0.9375,0.9375,0.75,0.8125,0.875,1.0,1.0,0.875,0.875,0.6875,0.8125,1.0,1.0,0.8125,0.8125,0.8125,1.0,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.8125,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.6875,0.9375,0.9375,0.9375,0.9375,0.9375,0.5625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.8125,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.75,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.75,0.9375,0.9375,0.875,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.5625,0.9375,0.5625,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.875,1.0,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.9375
one-plus-o318,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,0.8125,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.5625,1.0,0.875,0.6875,0.875,0.8125,0.9375,0.9375,0.8125,0.9375,0.75,0.75,0.9375,0.9375,0.75,0.75,0.875,0.9375,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,0.75,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,0.9375,0.625,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.5,1.0,0.5,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,0.875,0.9375,1.0,1.0
one-plus-o319,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,0.8125,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.5625,1.0,0.875,0.6875,0.875,0.8125,0.9375,0.9375,0.8125,0.9375,0.75,0.75,0.9375,0.9375,0.75,0.75,0.875,0.9375,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,0.75,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,0.9375,0.625,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.5,1.0,0.5,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,0.875,0.9375,1.0,1.0
one-plus-o320,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,0.8125,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.5625,1.0,0.875,0.6875,0.875,0.8125,0.9375,0.9375,0.8125,0.9375,0.75,0.75,0.9375,0.9375,0.75,0.75,0.875,0.9375,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,0.75,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,0.9375,0.625,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.5,1.0,0.5,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,0.875,0.9375,1.0,1.0
one-plus-o321,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,0.8125,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.5625,1.0,0.875,0.6875,0.875,0.8125,0.9375,0.9375,0.8125,0.9375,0.75,0.75,0.9375,0.9375,0.75,0.75,0.875,0.9375,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,0.75,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,0.9375,0.625,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.5,1.0,0.5,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,0.875,0.9375,1.0,1.0
one-plus-o322,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,0.8125,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.5625,1.0,0.875,0.6875,0.875,0.8125,0.9375,0.9375,0.8125,0.9375,0.75,0.75,0.9375,0.9375,0.75,0.75,0.875,0.9375,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,0.75,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,0.9375,0.625,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.5,1.0,0.5,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,0.875,0.9375,1.0,1.0
one-plus-o323,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.6875,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.625,0.75,0.875,0.8125,0.8125,0.875,0.6875,0.8125,0.875,0.8125,0.8125,0.8125,0.875,0.875,0.5,0.9375,0.8125,0.625,0.8125,0.75,0.875,0.875,0.75,0.875,0.8125,0.6875,0.875,0.875,0.6875,0.6875,0.8125,0.875,0.875,0.8125,0.9375,0.875,0.9375,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.6875,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.8125,0.9375,0.875,0.5625,0.9375,0.9375,0.9375,0.9375,0.9375,0.4375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.75,0.875,0.9375,0.9375,0.75,0.9375,0.9375,0.9375,0.8125,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.75,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.4375,0.9375,0.5625,0.75,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.75,0.9375,0.8125,0.875,0.9375,0.9375
one-plus-o324,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,0.8125,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.5625,1.0,0.875,0.6875,0.875,0.8125,0.9375,0.9375,0.8125,0.9375,0.75,0.75,0.9375,0.9375,0.75,0.75,0.875,0.9375,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,0.75,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,0.9375,0.625,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.5,1.0,0.5,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,0.875,0.9375,1.0,1.0
one-plus-o325,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,0.8125,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.5625,1.0,0.875,0.6875,0.875,0.8125,0.9375,0.9375,0.8125,0.9375,0.75,0.75,0.9375,0.9375,0.75,0.75,0.875,0.9375,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,0.75,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,0.9375,0.625,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,0.9375,1.0,1.0,0.8125,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.8125,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.5,1.0,0.5,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.8125,1.0,0.875,0.9375,1.0,1.0
